
第１表,,,,刑法犯　罪種別　認知・検挙件数・検挙人員　対前年比較,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙率,検挙率,検挙率,検挙人員,検挙人員,検挙人員,検挙人員,"検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年",
関東,神奈川県,33252 ,35241 ,-1989 ,-5.6 ,17537 ,17496 ,41 ,0.2 ,10564 ,11117 ,-553 ,-5.0 ,52.7 ,49.6 ,3.1 
関東,新潟県,7746 ,8561 ,-815 ,-9.5 ,4593 ,4977 ,-384 ,-7.7 ,2629 ,2862 ,-233 ,-8.1 ,59.3 ,58.1 ,1.2 
関東,山梨県,2748 ,3128 ,-380 ,-12.1 ,1518 ,1660 ,-142 ,-8.6 ,867 ,1045 ,-178 ,-17.0 ,55.2 ,53.1 ,2.1 
関東,長野県,5959 ,6944 ,-985 ,-14.2 ,3401 ,4130 ,-729 ,-17.7 ,1812 ,1916 ,-104 ,-5.4 ,57.1 ,59.5 ,-2.4 
関東,静岡県,14440 ,15370 ,-930 ,-6.1 ,8067 ,8043 ,24 ,0.3 ,5488 ,5513 ,-25 ,-0.5 ,55.9 ,52.3 ,3.6 
中部,計,65390 ,69802 ,-4412 ,-6.3 ,31518 ,31081 ,437 ,1.4 ,21279 ,21270 ,9 ,0.0 ,48.2 ,44.5 ,3.7 
中部,富山県,4546 ,4539 ,7 ,0.2 ,3125 ,2741 ,384 ,14.0 ,1703 ,1702 ,1 ,0.1 ,68.7 ,60.4 ,8.3 
中部,石川県,3409 ,3595 ,-186 ,-5.2 ,2421 ,2493 ,-72 ,-2.9 ,1397 ,1247 ,150 ,12.0 ,71.0 ,69.3 ,1.7 
中部,福井県,2714 ,2764 ,-50 ,-1.8 ,2119 ,1960 ,159 ,8.1 ,1100 ,1263 ,-163 ,-12.9 ,78.1 ,70.9 ,7.2 
中部,岐阜県,9479 ,10447 ,-968 ,-9.3 ,5495 ,4629 ,866 ,18.7 ,3015 ,2932 ,83 ,2.8 ,58.0 ,44.3 ,13.7 
中部,愛知県,37832 ,39897 ,-2065 ,-5.2 ,14937 ,15667 ,-730 ,-4.7 ,12218 ,12263 ,-45 ,-0.4 ,39.5 ,39.3 ,0.2 
中部,三重県,7410 ,8560 ,-1150 ,-13.4 ,3421 ,3591 ,-170 ,-4.7 ,1846 ,1863 ,-17 ,-0.9 ,46.2 ,42.0 ,4.2 
近畿,計,117448 ,130160 ,-12712 ,-9.8 ,45859 ,48689 ,-2830 ,-5.8 ,32838 ,34879 ,-2041 ,-5.9 ,39.0 ,37.4 ,1.6 
近畿,滋賀県,5814 ,6039 ,-225 ,-3.7 ,2952 ,2511 ,441 ,17.6 ,1893 ,1807 ,86 ,4.8 ,50.8 ,41.6 ,9.2 
近畿,京都府,10483 ,11851 ,-1368 ,-11.5 ,4917 ,5201 ,-284 ,-5.5 ,3567 ,3643 ,-76 ,-2.1 ,46.9 ,43.9 ,3.0 
近畿,大阪府,62690 ,68351 ,-5661 ,-8.3 ,18547 ,19646 ,-1099 ,-5.6 ,13626 ,14965 ,-1339 ,-8.9 ,29.6 ,28.7 ,0.9 
近畿,兵庫県,30003 ,34246 ,-4243 ,-12.4 ,13710 ,15600 ,-1890 ,-12.1 ,10212 ,10950 ,-738 ,-6.7 ,45.7 ,45.6 ,0.1 
近畿,奈良県,5148 ,5774 ,-626 ,-10.8 ,3550 ,3599 ,-49 ,-1.4 ,2097 ,2040 ,57 ,2.8 ,69.0 ,62.3 ,6.7 
近畿,和歌山県,3310 ,3899 ,-589 ,-15.1 ,2183 ,2132 ,51 ,2.4 ,1443 ,1474 ,-31 ,-2.1 ,66.0 ,54.7 ,11.3 
中国,計,26359 ,27445 ,-1086 ,-4.0 ,14685 ,15293 ,-608 ,-4.0 ,9973 ,10149 ,-176 ,-1.7 ,55.7 ,55.7 ,0.0 
中国,鳥取県,1923 ,1814 ,109 ,6.0 ,1408 ,1355 ,53 ,3.9 ,962 ,880 ,82 ,9.3 ,73.2 ,74.7 ,-1.5 
中国,島根県,1849 ,1936 ,-87 ,-4.5 ,1365 ,1439 ,-74 ,-5.1 ,730 ,728 ,2 ,0.3 ,73.8 ,74.3 ,-0.5 
中国,岡山県,7535 ,7832 ,-297 ,-3.8 ,3821 ,3813 ,8 ,0.2 ,2655 ,2641 ,14 ,0.5 ,50.7 ,48.7 ,2.0 
中国,広島県,11181 ,11726 ,-545 ,-4.6 ,5808 ,6104 ,-296 ,-4.8 ,4036 ,4206 ,-170 ,-4.0 ,51.9 ,52.1 ,-0.2 
中国,山口県,3871 ,4137 ,-266 ,-6.4 ,2283 ,2582 ,-299 ,-11.6 ,1590 ,1694 ,-104 ,-6.1 ,59.0 ,62.4 ,-3.4 
四国,計,14826 ,16109 ,-1283 ,-8.0 ,8034 ,8618 ,-584 ,-6.8 ,4939 ,5028 ,-89 ,-1.8 ,54.2 ,53.5 ,0.7 
四国,徳島県,2362 ,2414 ,-52 ,-2.2 ,1068 ,1329 ,-261 ,-19.6 ,703 ,673 ,30 ,4.5 ,45.2 ,55.1 ,-9.9 
四国,香川県,3801 ,4543 ,-742 ,-16.3 ,2390 ,2653 ,-263 ,-9.9 ,1519 ,1592 ,-73 ,-4.6 ,62.9 ,58.4 ,4.5 
四国,愛媛県,5804 ,6433 ,-629 ,-9.8 ,3045 ,3113 ,-68 ,-2.2 ,1788 ,1899 ,-111 ,-5.8 ,52.5 ,48.4 ,4.1 
四国,高知県,2859 ,2719 ,140 ,5.1 ,1531 ,1523 ,8 ,0.5 ,929 ,864 ,65 ,7.5 ,53.6 ,56.0 ,-2.4 
九州,計,54396 ,56468 ,-2072 ,-3.7 ,29553 ,31658 ,-2105 ,-6.6 ,20634 ,20840 ,-206 ,-1.0 ,54.3 ,56.1 ,-1.8 
九州,福岡県,26337 ,27627 ,-1290 ,-4.7 ,12970 ,14736 ,-1766 ,-12.0 ,9108 ,9433 ,-325 ,-3.4 ,49.2 ,53.3 ,-4.1 
九州,佐賀県,2821 ,3069 ,-248 ,-8.1 ,1980 ,2011 ,-31 ,-1.5 ,1203 ,1112 ,91 ,8.2 ,70.2 ,65.5 ,4.7 
九州,長崎県,3155 ,2799 ,356 ,12.7 ,2013 ,1955 ,58 ,3.0 ,1579 ,1492 ,87 ,5.8 ,63.8 ,69.8 ,-6.0 
九州,熊本県,5187 ,5081 ,106 ,2.1 ,3306 ,3578 ,-272 ,-7.6 ,2302 ,2173 ,129 ,5.9 ,63.7 ,70.4 ,-6.7 
九州,大分県,2887 ,3087 ,-200 ,-6.5 ,1667 ,1526 ,141 ,9.2 ,1149 ,1124 ,25 ,2.2 ,57.7 ,49.4 ,8.3 
九州,宮崎県,3535 ,3694 ,-159 ,-4.3 ,1792 ,1938 ,-146 ,-7.5 ,1192 ,1213 ,-21 ,-1.7 ,50.7 ,52.5 ,-1.8 
九州,鹿児島県,4641 ,5113 ,-472 ,-9.2 ,2498 ,2466 ,32 ,1.3 ,1618 ,1657 ,-39 ,-2.4 ,53.8 ,48.2 ,5.6 
九州,沖縄県,5833 ,5998 ,-165 ,-2.8 ,3327 ,3448 ,-121 ,-3.5 ,2483 ,2636 ,-153 ,-5.8 ,57.0 ,57.5 ,-0.5 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
第４表,,,窃盗犯総数　都道府県別　認知・検挙件数・検挙人員　対前年比較,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙人員,検挙人員,検挙人員,検挙人員,検挙率,検挙率,検挙率
,都道府県,"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％）,"2021年
1～12月","2020年
1～12月",増減ポイント
総数,,381769 ,417291 ,-35522 ,-8.5 ,161016 ,170687 ,-9671 ,-5.7 ,84360 ,88464 ,-4104 ,-4.6 ,42.2 ,40.9 ,1.3 
北海道,計,11115 ,11444 ,-329 ,-2.9 ,5731 ,5813 ,-82 ,-1.4 ,3213 ,3267 ,-54 ,-1.7 ,51.6 ,50.8 ,0.8 
北海道,札幌方面,8036 ,8214 ,-178 ,-2.2 ,3985 ,3961 ,24 ,0.6 ,2126 ,2208 ,-82 ,-3.7 ,49.6 ,48.2 ,1.4 
北海道,函館方面,867 ,791 ,76 ,9.6 ,430 ,487 ,-57 ,-11.7 ,298 ,260 ,38 ,14.6 ,49.6 ,61.6 ,-12.0 
北海道,旭川方面,936 ,1043 ,-107 ,-10.3 ,466 ,650 ,-184 ,-28.3 ,328 ,402 ,-74 ,-18.4 ,49.8 ,62.3 ,-12.5 
北海道,釧路方面,945 ,1107 ,-162 ,-14.6 ,645 ,539 ,106 ,19.7 ,341 ,292 ,49 ,16.8 ,68.3 ,48.7 ,19.6 
北海道,北見方面,331 ,289 ,42 ,14.5 ,205 ,176 ,29 ,16.5 ,120 ,105 ,15 ,14.3 ,61.9 ,60.9 ,1.0 
東北,計,17524 ,19452 ,-1928 ,-9.9 ,9826 ,11433 ,-1607 ,-14.1 ,5073 ,5418 ,-345 ,-6.4 ,56.1 ,58.8 ,-2.7 
東北,青森県,1913 ,2244 ,-331 ,-14.8 ,1214 ,1380 ,-166 ,-12.0 ,726 ,820 ,-94 ,-11.5 ,63.5 ,61.5 ,2.0 
東北,岩手県,1738 ,1730 ,8 ,0.5 ,1101 ,1026 ,75 ,7.3 ,636 ,645 ,-9 ,-1.4 ,63.3 ,59.3 ,4.0 
東北,宮城県,6002 ,6564 ,-562 ,-8.6 ,2727 ,3284 ,-557 ,-17.0 ,1297 ,1446 ,-149 ,-10.3 ,45.4 ,50.0 ,-4.6 
東北,秋田県,1351 ,1679 ,-328 ,-19.5 ,1027 ,1167 ,-140 ,-12.0 ,640 ,670 ,-30 ,-4.5 ,76.0 ,69.5 ,6.5 
東北,山形県,1946 ,1959 ,-13 ,-0.7 ,1543 ,1668 ,-125 ,-7.5 ,616 ,675 ,-59 ,-8.7 ,79.3 ,85.1 ,-5.8 
東北,福島県,4574 ,5276 ,-702 ,-13.3 ,2214 ,2908 ,-694 ,-23.9 ,1158 ,1162 ,-4 ,-0.3 ,48.4 ,55.1 ,-6.7 
東京都,,48220 ,55226 ,-7006 ,-12.7 ,16687 ,18405 ,-1718 ,-9.3 ,8718 ,9979 ,-1261 ,-12.6 ,34.6 ,33.3 ,1.3 
関東,計,119598 ,129690 ,-10092 ,-7.8 ,50428 ,53827 ,-3399 ,-6.3 ,23792 ,25135 ,-1343 ,-5.3 ,42.2 ,41.5 ,0.7 
関東,茨城県,10613 ,12191 ,-1578 ,-12.9 ,3967 ,4264 ,-297 ,-7.0 ,1470 ,1605 ,-135 ,-8.4 ,37.4 ,35.0 ,2.4 
関東,栃木県,6689 ,6820 ,-131 ,-1.9 ,2690 ,3622 ,-932 ,-25.7 ,1055 ,1131 ,-76 ,-6.7 ,40.2 ,53.1 ,-12.9 
関東,群馬県,6192 ,6684 ,-492 ,-7.4 ,3114 ,3306 ,-192 ,-5.8 ,1300 ,1425 ,-125 ,-8.8 ,50.3 ,49.5 ,0.8 
関東,埼玉県,27979 ,30809 ,-2830 ,-9.2 ,9339 ,10660 ,-1321 ,-12.4 ,4630 ,5202 ,-572 ,-11.0 ,33.4 ,34.6 ,-1.2 
関東,千葉県,23715 ,24881 ,-1166 ,-4.7 ,8108 ,8221 ,-113 ,-1.4 ,4085 ,4116 ,-31 ,-0.8 ,34.2 ,33.0 ,1.2 
関東,神奈川県,23970 ,25556 ,-1586 ,-6.2 ,11761 ,11607 ,154 ,1.3 ,5878 ,5914 ,-36 ,-0.6 ,49.1 ,45.4 ,3.7 
関東,新潟県,5136 ,5601 ,-465 ,-8.3 ,3119 ,3229 ,-110 ,-3.4 ,1377 ,1473 ,-96 ,-6.5 ,60.7 ,57.7 ,3.0 
関東,山梨県,1935 ,2234 ,-299 ,-13.4 ,1049 ,1118 ,-69 ,-6.2 ,504 ,591 ,-87 ,-14.7 ,54.2 ,50.0 ,4.2 
関東,長野県,4188 ,4992 ,-804 ,-16.1 ,2479 ,3062 ,-583 ,-19.0 ,1066 ,1113 ,-47 ,-4.2 ,59.2 ,61.3 ,-2.1 
関東,静岡県,9181 ,9922 ,-741 ,-7.5 ,4802 ,4738 ,64 ,1.4 ,2427 ,2565 ,-138 ,-5.4 ,52.3 ,47.8 ,4.5 
中部,計,43218 ,46371 ,-3153 ,-6.8 ,19342 ,18706 ,636 ,3.4 ,10238 ,10534 ,-296 ,-2.8 ,44.8 ,40.3 ,4.5 
中部,富山県,3014 ,2908 ,106 ,3.6 ,2050 ,1691 ,359 ,21.2 ,723 ,766 ,-43 ,-5.6 ,68.0 ,58.1 ,9.9 
中部,石川県,2491 ,2622 ,-131 ,-5.0 ,1738 ,1802 ,-64 ,-3.6 ,768 ,703 ,65 ,9.2 ,69.8 ,68.7 ,1.1 
中部,福井県,1849 ,1790 ,59 ,3.3 ,1489 ,1223 ,266 ,21.7 ,500 ,550 ,-50 ,-9.1 ,80.5 ,68.3 ,12.2 
中部,岐阜県,6075 ,6829 ,-754 ,-11.0 ,3620 ,2681 ,939 ,35.0 ,1438 ,1396 ,42 ,3.0 ,59.6 ,39.3 ,20.3 
中部,愛知県,24649 ,26116 ,-1467 ,-5.6 ,8186 ,8823 ,-637 ,-7.2 ,5799 ,6060 ,-261 ,-4.3 ,33.2 ,33.8 ,-0.6 
中部,三重県,5140 ,6106 ,-966 ,-15.8 ,2259 ,2486 ,-227 ,-9.1 ,1010 ,1059 ,-49 ,-4.6 ,43.9 ,40.7 ,3.2 
近畿,計,79693 ,89265 ,-9572 ,-10.7 ,26276 ,27420 ,-1144 ,-4.2 ,15288 ,15920 ,-632 ,-4.0 ,33.0 ,30.7 ,2.3 
近畿,滋賀県,3696 ,4172 ,-476 ,-11.4 ,1872 ,1641 ,231 ,14.1 ,1006 ,1048 ,-42 ,-4.0 ,50.6 ,39.3 ,11.3 
近畿,京都府,7153 ,8259 ,-1106 ,-13.4 ,2958 ,3147 ,-189 ,-6.0 ,1806 ,1855 ,-49 ,-2.6 ,41.4 ,38.1 ,3.3 
近畿,大阪府,45105 ,49390 ,-4285 ,-8.7 ,10234 ,10385 ,-151 ,-1.5 ,6158 ,6535 ,-377 ,-5.8 ,22.7 ,21.0 ,1.7 
近畿,兵庫県,18313 ,21110 ,-2797 ,-13.2 ,7376 ,8598 ,-1222 ,-14.2 ,4390 ,4617 ,-227 ,-4.9 ,40.3 ,40.7 ,-0.4 
近畿,奈良県,3393 ,3834 ,-441 ,-11.5 ,2436 ,2381 ,55 ,2.3 ,1194 ,1172 ,22 ,1.9 ,71.8 ,62.1 ,9.7 
近畿,和歌山県,2033 ,2500 ,-467 ,-18.7 ,1400 ,1268 ,132 ,10.4 ,734 ,693 ,41 ,5.9 ,68.9 ,50.7 ,18.2 
中国,計,16981 ,18110 ,-1129 ,-6.2 ,9064 ,9458 ,-394 ,-4.2 ,5156 ,5366 ,-210 ,-3.9 ,53.4 ,52.2 ,1.2 
中国,鳥取県,1323 ,1244 ,79 ,6.4 ,958 ,905 ,53 ,5.9 ,524 ,489 ,35 ,7.2 ,72.4 ,72.7 ,-0.3 
中国,島根県,1218 ,1303 ,-85 ,-6.5 ,906 ,912 ,-6 ,-0.7 ,381 ,420 ,-39 ,-9.3 ,74.4 ,70.0 ,4.4 
中国,岡山県,4998 ,5323 ,-325 ,-6.1 ,2157 ,2190 ,-33 ,-1.5 ,1242 ,1273 ,-31 ,-2.4 ,43.2 ,41.1 ,2.1 
中国,広島県,6997 ,7476 ,-479 ,-6.4 ,3567 ,3708 ,-141 ,-3.8 ,2074 ,2153 ,-79 ,-3.7 ,51.0 ,49.6 ,1.4 
中国,山口県,2445 ,2764 ,-319 ,-11.5 ,1476 ,1743 ,-267 ,-15.3 ,935 ,1031 ,-96 ,-9.3 ,60.4 ,63.1 ,-2.7 
四国,計,9883 ,10932 ,-1049 ,-9.6 ,5334 ,5871 ,-537 ,-9.1 ,2772 ,2741 ,31 ,1.1 ,54.0 ,53.7 ,0.3 
四国,徳島県,1656 ,1744 ,-88 ,-5.0 ,773 ,1020 ,-247 ,-24.2 ,476 ,434 ,42 ,9.7 ,46.7 ,58.5 ,-11.8 
四国,香川県,2267 ,2926 ,-659 ,-22.5 ,1320 ,1596 ,-276 ,-17.3 ,707 ,763 ,-56 ,-7.3 ,58.2 ,54.5 ,3.7 
四国,愛媛県,3944 ,4400 ,-456 ,-10.4 ,2239 ,2260 ,-21 ,-0.9 ,1057 ,1064 ,-7 ,-0.7 ,56.8 ,51.4 ,5.4 
四国,高知県,2016 ,1862 ,154 ,8.3 ,1002 ,995 ,7 ,0.7 ,532 ,480 ,52 ,10.8 ,49.7 ,53.4 ,-3.7 
九州,計,35537 ,36801 ,-1264 ,-3.4 ,18328 ,19754 ,-1426 ,-7.2 ,10110 ,10104 ,6 ,0.1 ,51.6 ,53.7 ,-2.1 
九州,福岡県,17484 ,17836 ,-352 ,-2.0 ,7836 ,8917 ,-1081 ,-12.1 ,3962 ,3936 ,26 ,0.7 ,44.8 ,50.0 ,-5.2 
九州,佐賀県,1911 ,2155 ,-244 ,-11.3 ,1394 ,1415 ,-21 ,-1.5 ,644 ,590 ,54 ,9.2 ,72.9 ,65.7 ,7.2 
九州,長崎県,1786 ,1732 ,54 ,3.1 ,1200 ,1209 ,-9 ,-0.7 ,859 ,842 ,17 ,2.0 ,67.2 ,69.8 ,-2.6 
九州,熊本県,3403 ,3375 ,28 ,0.8 ,2047 ,2458 ,-411 ,-16.7 ,1200 ,1185 ,15 ,1.3 ,60.2 ,72.8 ,-12.6 
九州,大分県,1762 ,1896 ,-134 ,-7.1 ,1042 ,907 ,135 ,14.9 ,603 ,600 ,3 ,0.5 ,59.1 ,47.8 ,11.3 
九州,宮崎県,2409 ,2592 ,-183 ,-7.1 ,1108 ,1226 ,-118 ,-9.6 ,597 ,642 ,-45 ,-7.0 ,46.0 ,47.3 ,-1.3 
九州,鹿児島県,3201 ,3505 ,-304 ,-8.7 ,1730 ,1646 ,84 ,5.1 ,967 ,940 ,27 ,2.9 ,54.0 ,47.0 ,7.0 
九州,沖縄県,3581 ,3710 ,-129 ,-3.5 ,1971 ,1976 ,-5 ,-0.3 ,1278 ,1369 ,-91 ,-6.6 ,55.0 ,53.3 ,1.7 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,第５表,,重要犯罪・重要窃盗犯　認知・検挙件数・検挙人員 対前年比較,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙率,検挙率,検挙率,,,,,,,,,,,,,,
,罪種（手口）,"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減ポイント,,,,,,,,,,,,,,
重要犯罪,計,8821 ,8935 ,-114 ,-1.3 ,8240 ,8369 ,-129 ,-1.5 ,93.4 ,93.7 ,-0.3 ,,,,,,,,,,,,,,
重要犯罪,殺人,874 ,929 ,-55 ,-5.9 ,883 ,913 ,-30 ,-3.3 ,101.0 ,98.3 ,2.7 ,,,,,,,,,,,,,,
重要犯罪,強盗,1138 ,1397 ,-259 ,-18.5 ,1130 ,1358 ,-228 ,-16.8 ,99.3 ,97.2 ,2.1 ,,,,,,,,,,,,,,
重要犯罪,放火,749 ,786 ,-37 ,-4.7 ,664 ,700 ,-36 ,-5.1 ,88.7 ,89.1 ,-0.4 ,,,,,,,,,,,,,,
重要犯罪,強制性交等,1388 ,1332 ,56 ,4.2 ,1330 ,1297 ,33 ,2.5 ,95.8 ,97.4 ,-1.6 ,,,,,,,,,,,,,,
重要犯罪,略取誘拐・人身売買,389 ,337 ,52 ,15.4 ,365 ,335 ,30 ,9.0 ,93.8 ,99.4 ,-5.6 ,,,,,,,,,,,,,,
重要犯罪,強制わいせつ,4283 ,4154 ,129 ,3.1 ,3868 ,3766 ,102 ,2.7 ,90.3 ,90.7 ,-0.4 ,,,,,,,,,,,,,,
重要窃盗犯,計,44076 ,51604 ,-7528 ,-14.6 ,32177 ,36244 ,-4067 ,-11.2 ,73.0 ,70.2 ,2.8 ,,,,,,,,,,,,,,
重要窃盗犯,侵入盗,37240 ,44093 ,-6853 ,-15.5 ,28456 ,31836 ,-3380 ,-10.6 ,76.4 ,72.2 ,4.2 ,,,,,,,,,,,,,,
重要窃盗犯,侵入盗　うち）住宅対象,17283 ,21030 ,-3747 ,-17.8 ,13155 ,15051 ,-1896 ,-12.6 ,76.1 ,71.6 ,4.5 ,,,,,,,,,,,,,,
重要窃盗犯,侵入盗　うち）その他,19957 ,23063 ,-3106 ,-13.5 ,15301 ,16785 ,-1484 ,-8.8 ,76.7 ,72.8 ,3.9 ,,,,,,,,,,,,,,
重要窃盗犯,自動車盗,5182 ,5210 ,-28 ,-0.5 ,2556 ,3006 ,-450 ,-15.0 ,49.3 ,57.7 ,-8.4 ,,,,,,,,,,,,,,
重要窃盗犯,ひったくり,544 ,877 ,-333 ,-38.0 ,426 ,712 ,-286 ,-40.2 ,78.3 ,81.2 ,-2.9 ,,,,,,,,,,,,,,
重要窃盗犯,すり,1110 ,1424 ,-314 ,-22.1 ,739 ,690 ,49 ,7.1 ,66.6 ,48.5 ,18.1 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙人員,検挙人員,検挙人員,検挙人員,"検挙人員
成人","検挙人員
成人","検挙人員
成人","検挙人員
成人","検挙人員
少年","検挙人員
少年","検挙人員
少年","検挙人員
少年",,,,,,,,,,,,,
,罪種（手口）,"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％),,,,,,,,,,,,,
重要犯罪,計,7372 ,7317 ,55 ,0.8 ,6677 ,6525 ,152 ,2.3 ,695 ,792 ,-97 ,-12.2 ,,,,,,,,,,,,,
重要犯罪,殺人,848 ,878 ,-30 ,-3.4 ,813 ,828 ,-15 ,-1.8 ,35 ,50 ,-15 ,-30.0 ,,,,,,,,,,,,,
重要犯罪,強盗,1460 ,1654 ,-194 ,-11.7 ,1246 ,1331 ,-85 ,-6.4 ,214 ,323 ,-109 ,-33.7 ,,,,,,,,,,,,,
重要犯罪,放火,534 ,582 ,-48 ,-8.2 ,507 ,549 ,-42 ,-7.7 ,27 ,33 ,-6 ,-18.2 ,,,,,,,,,,,,,
重要犯罪,強制性交等,1251 ,1177 ,74 ,6.3 ,1117 ,1061 ,56 ,5.3 ,134 ,116 ,18 ,15.5 ,,,,,,,,,,,,,
重要犯罪,略取誘拐・人身売買,376 ,266 ,110 ,41.4 ,357 ,254 ,103 ,40.6 ,19 ,12 ,7 ,58.3 ,,,,,,,,,,,,,
重要犯罪,強制わいせつ,2903 ,2760 ,143 ,5.2 ,2637 ,2502 ,135 ,5.4 ,266 ,258 ,8 ,3.1 ,,,,,,,,,,,,,
重要窃盗犯,計,6294 ,7000 ,-706 ,-10.1 ,5820 ,6347 ,-527 ,-8.3 ,474 ,653 ,-179 ,-27.4 ,,,,,,,,,,,,,
重要窃盗犯,侵入盗,5167 ,5671 ,-504 ,-8.9 ,4827 ,5214 ,-387 ,-7.4 ,340 ,457 ,-117 ,-25.6 ,,,,,,,,,,,,,
重要窃盗犯,侵入盗　うち）住宅対象,1894 ,2184 ,-290 ,-13.3 ,1758 ,2010 ,-252 ,-12.5 ,136 ,174 ,-38 ,-21.8 ,,,,,,,,,,,,,
重要窃盗犯,侵入盗　うち）その他,3273 ,3487 ,-214 ,-6.1 ,3069 ,3204 ,-135 ,-4.2 ,204 ,283 ,-79 ,-27.9 ,,,,,,,,,,,,,
重要窃盗犯,自動車盗,634 ,666 ,-32 ,-4.8 ,567 ,577 ,-10 ,-1.7 ,67 ,89 ,-22 ,-24.7 ,,,,,,,,,,,,,
重要窃盗犯,ひったくり,206 ,248 ,-42 ,-16.9 ,156 ,169 ,-13 ,-7.7 ,50 ,79 ,-29 ,-36.7 ,,,,,,,,,,,,,
重要窃盗犯,すり,287 ,415 ,-128 ,-30.8 ,270 ,387 ,-117 ,-30.2 ,17 ,28 ,-11 ,-39.3 ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
注　侵入盗の「住宅対象」とは、空き巣、忍込み及び居空きをいう。,,,,,,,,,,,,,,,,,,,,,,,,,,
第６表,,,重要犯罪・重要窃盗犯　都道府県別　認知・検挙件数・検挙人員　対前年比較　（重要犯罪総数）,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙人員,検挙人員,検挙人員,検挙人員,検挙率,検挙率,検挙率
,都道府県,"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％）,"2021年
1～12月","2020年
1～12月",増減ポイント
総数,,8821 ,8935 ,-114 ,-1.3 ,8240 ,8369 ,-129 ,-1.5 ,7372 ,7317 ,55 ,0.8 ,93.4 ,93.7 ,-0.3 
北海道,計,292 ,306 ,-14 ,-4.6 ,303 ,276 ,27 ,9.8 ,264 ,225 ,39 ,17.3 ,103.8 ,90.2 ,13.6 
北海道,札幌方面,206 ,206 ,0 ,0.0 ,207 ,189 ,18 ,9.5 ,180 ,149 ,31 ,20.8 ,100.5 ,91.7 ,8.8 
北海道,函館方面,14 ,26 ,-12 ,-46.2 ,15 ,23 ,-8 ,-34.8 ,15 ,20 ,-5 ,-25.0 ,107.1 ,88.5 ,18.6 
北海道,旭川方面,27 ,27 ,0 ,0.0 ,31 ,19 ,12 ,63.2 ,27 ,22 ,5 ,22.7 ,114.8 ,70.4 ,44.4 
北海道,釧路方面,34 ,30 ,4 ,13.3 ,38 ,28 ,10 ,35.7 ,31 ,18 ,13 ,72.2 ,111.8 ,93.3 ,18.5 
北海道,北見方面,11 ,17 ,-6 ,-35.3 ,12 ,17 ,-5 ,-29.4 ,11 ,16 ,-5 ,-31.3 ,109.1 ,100.0 ,9.1 
東北,計,486 ,402 ,84 ,20.9 ,426 ,388 ,38 ,9.8 ,330 ,343 ,-13 ,-3.8 ,87.7 ,96.5 ,-8.8 
東北,青森県,72 ,57 ,15 ,26.3 ,61 ,51 ,10 ,19.6 ,47 ,51 ,-4 ,-7.8 ,84.7 ,89.5 ,-4.8 
東北,岩手県,58 ,53 ,5 ,9.4 ,48 ,49 ,-1 ,-2.0 ,37 ,45 ,-8 ,-17.8 ,82.8 ,92.5 ,-9.7 
東北,宮城県,239 ,142 ,97 ,68.3 ,207 ,132 ,75 ,56.8 ,149 ,123 ,26 ,21.1 ,86.6 ,93.0 ,-6.4 
東北,秋田県,31 ,21 ,10 ,47.6 ,29 ,22 ,7 ,31.8 ,28 ,20 ,8 ,40.0 ,93.5 ,104.8 ,-11.3 
東北,山形県,36 ,62 ,-26 ,-41.9 ,35 ,64 ,-29 ,-45.3 ,26 ,44 ,-18 ,-40.9 ,97.2 ,103.2 ,-6.0 
